name,face_recognition_dst,openface_OEN_dst,openface_IEBL_dst,dlib_trained_model,sift_feature,is_different_gender,pca_eigenface_dst,target
face_cropping/test\a_1590484321949_1590565332253_1,0.7063165280987589,0.8637242317199707,1.0187305212020874,0.7278946858674017,15,1,11199652.175179373,1
face_cropping/test\a_1590484321949_1590928420894_1,0.7062768844948027,0.87256920337677,0.9042053818702698,0.7092669944271637,31,0,14085321.008076172,1
face_cropping/test\a_1590484321949_1590932247973_1,0.6869716794029723,0.9287580847740173,0.978718638420105,0.6905278074822693,30,0,19394212.960294124,1
face_cropping/test\a_1590484360364_1590562909576_1,0.647763550344836,0.9704552292823792,1.129409670829773,0.6362337223740646,16,0,11843782.612219883,1
face_cropping/test\a_1590484423008_1590565065510_1,0.6381758843732868,1.1104419231414795,1.1957697868347168,0.6531708659094629,5,0,4520885.791302629,1
face_cropping/test\a_1590559380207_1590567545622_1,0.49499298214069487,0.5677011013031006,0.7046381831169128,0.4770325131574483,59,0,7037265.986404414,1
face_cropping/test\a_1590559922438_1590559380207_1,0.5985840553175971,0.6748015284538269,0.712033748626709,0.64330128049443,5,1,9032447.672588535,1
face_cropping/test\a_1590559922438_1590560684078_1,0.6359487336566809,0.6989049315452576,0.6588598489761353,0.6566122419741406,5,1,12070773.788475703,1
face_cropping/test\a_1590560684078_1590484072315_1,0.54257279256355,0.8050049543380737,0.6251575946807861,0.5970747118785018,31,1,10280259.21035856,1
face_cropping/test\a_1590561350990_1590567971272_1,0.6584824080330354,0.988555371761322,0.9862511157989502,0.6309124691041017,7,1,13651998.194390465,1
face_cropping/test\a_1590561350990_1590568814468_1,0.6184226078009109,0.9180076122283936,0.9303444623947144,0.5282038288777162,2,0,5939570.389853166,1
face_cropping/test\a_1590562909576_1590563866941_1,0.5497081299599073,0.9689574241638184,0.7777949571609497,0.4994471652895587,19,0,12618945.59266851,1
face_cropping/test\a_1590562909576_1590928420894_1,0.6139023101805492,1.0109355449676514,0.9903404116630554,0.5839063935074188,8,0,8575800.234618606,1
face_cropping/test\a_1590564072492_1590565065510_1,0.6410496161417931,1.3369060754776,1.2235716581344604,0.6589315071599756,8,1,28006823.05262096,1
face_cropping/test\a_1590564344901_1590560684078_1,0.8665803005475867,1.1378517150878906,1.1253774166107178,0.8548569849669067,9,1,11403334.990606938,1
face_cropping/test\a_1590564344901_1590563866941_1,0.8160761710214741,1.0140931606292725,0.989206075668335,0.8383291098669264,10,0,11358362.999323472,1
face_cropping/test\a_1590564434908_1590564344901_1,0.6525436436710539,1.0917539596557617,1.0109878778457642,0.6722465168244219,0,1,27494512.168836016,1
face_cropping/test\a_1590564434908_1590569768002_1,0.5384510045478711,0.9610176086425781,0.9721330404281616,0.5676013557924192,5,0,4152159.303398655,1
face_cropping/test\a_1590564712233_1590559922438_1,0.5741483861808906,0.7504020929336548,0.5795422792434692,0.59009568002368,10,0,9805536.708847942,1
face_cropping/test\a_1590564712233_1590931783332_1,0.7692687154726624,0.9380690455436707,0.8961003422737122,0.7522056193905312,3,1,22189564.45824353,1
face_cropping/test\a_1590565332253_1590932146709_1,0.5622429903733592,0.7955134510993958,0.8966535329818726,0.5585543587593603,42,1,5979017.048748441,1
face_cropping/test\a_1590567545622_1590559380207_1,0.5962575902277193,1.0555312633514404,1.0164161920547485,0.592653843916548,30,0,11806199.886799818,1
face_cropping/test\a_1590567545622_1590564072492_1,0.6528565820739454,0.8903690576553345,0.7982173562049866,0.6384510210834412,12,1,19941895.44659435,1
